
2022-05-29;05-53-48-191796  ;;;  b'Strike Detected! reading of; 749; High, Low; 486, -475; Current Danger Level; 1; at tic; 1501268532'
2022-05-29;07-46-58-170628  ;;;  b'Strike Detected! reading of; 810; High, Low; 480, -476; Current Danger Level; 1; at tic; 1508058635'
2022-05-29;09-20-42-399722  ;;;  b'Strike Detected! reading of; 992; High, Low; 460, -476; Current Danger Level; 1; at tic; 1513682961'
2022-05-29;10-50-34-346458  ;;;  b'Strike Detected! reading of; 1023; High, Low; 457, -478; Current Danger Level; 1; at tic; 1519074994'
2022-05-29;11-23-13-282044  ;;;  b'Strike Detected! reading of; 968; High, Low; 441, -491; Current Danger Level; 1; at tic; 1521033966'
2022-05-29;12-14-20-282595  ;;;  b'Strike Detected! reading of; 797; High, Low; 449, -479; Current Danger Level; 1; at tic; 1524100997'
2022-05-29;15-34-44-278446  ;;;  b'Strike Detected! reading of; 867; High, Low; 453, -481; Current Danger Level; 1; at tic; 1536125208'
2022-05-29;16-00-26-725516  ;;;  b'Strike Detected! reading of; 1018; High, Low; 452, -475; Current Danger Level; 1; at tic; 1537667690'
2022-05-29;18-23-39-362593  ;;;  b'Strike Detected! reading of; 1023; High, Low; 439, -479; Current Danger Level; 1; at tic; 1546260478'
2022-05-29;19-02-20-012238  ;;;  b'Strike Detected! reading of; 703; High, Low; 417, -475; Current Danger Level; 1; at tic; 1548581267\r\n'
2022-05-29;19-02-20-121610  ;;;  b'Strike Detected! reading of; 991; High, Low; 417, -475; Current Danger Level; 2; at tic; 1548581282'
2022-05-29;20-00-15-405685  ;;;  b'Strike Detected! reading of; 792; High, Low; 463, -480; Current Danger Level; 1; at tic; 1552056634'
2022-05-29;20-03-52-939210  ;;;  b'Strike Detected! reading of; 632; High, Low; 438, -474; Current Danger Level; 1; at tic; 1552274157'
2022-05-29;21-17-17-080539  ;;;  b'Strike Detected! reading of; 820; High, Low; 443, -480; Current Danger Level; 1; at tic; 1556678369'
